collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
3/20/24,4,1,1,leptodiaptomus_sicilis,1,51,27,7,0.768,no,no,yes
3/20/24,4,1,1,leptodiaptomus_sicilis,2,50,27,8,0.782,yes,no,yes
3/20/24,4,1,1,leptodiaptomus_minutus,3,54,29,6,0.681,no,no,yes
3/20/24,4,1,1,epischura_lacustris_juvenile,4,31,53,NA,0.792,no,no,no
3/20/24,4,1,1,leptodiaptomus_sicilis,5,51,56,10,0.808,no,no,yes
3/20/24,4,1,1,epischura_lacustris_juvenile,6,32,13,NA,0.738,no,no,no
3/20/24,4,1,1,leptodiaptomus_sicilis,7,52,17,6,0.755,no,no,no
3/20/24,4,1,1,leptodiaptomus_sicilis,8,53,48,NA,0.78,yes,no,yes
3/20/24,4,1,1,leptodiaptomus_sicilis,9,51,6,NA,0.952,no,no,yes
3/20/24,4,1,1,leptodiaptomus_minutus,10,56,41,NA,0.616,yes,no,no
