collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
10/9/23,17.5,1,1,skistodiaptomus_oregonensis,1,54,22,NA,0.923,no,no,no
10/9/23,17.5,1,1,leptodiaptomus_minutus,2,25,24,6,0.66,no,no,no
10/9/23,17.5,1,1,leptodiaptomus_minutus,3,30,28,4,0.637,no,no,no
10/9/23,17.5,1,1,skistodiaptomus_oregonensis,4,55,41,NA,0.932,no,no,no
10/9/23,17.5,1,1,skistodiaptomus_oregonensis,5,57,12,NA,0.972,yes,no,no
10/9/23,17.5,1,1,skistodiaptomus_oregonensis_juvenile,6,40,9,NA,0.83,no,no,no
10/9/23,17.5,1,1,leptodiaptomus_minutus,7,31,1,6,0.64,no,no,no
10/9/23,17.5,1,1,epischura_lacustris,8,37,31,NA,1.172,yes,no,no
10/9/23,17.5,1,1,leptodiaptomus_minutus,9,26,30,8,0.603,no,no,no
10/9/23,17.5,1,1,leptodiaptomus_minutus,10,35,46,NA,0.651,yes,no,no
