collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
8/20/23,22.5,1,1,epischura_lacustris_juvenile,1,50,13,NA,0.694,no,no,no
8/20/23,22.5,1,1,leptodiaptomus_minutus,2,58,59,NA,0.579,no,no,no
8/20/23,22.5,1,1,skistodiaptomus_oregonensis_male,3,75,13,NA,0.65,no,no,no
8/20/23,22.5,1,1,leptodiaptomus_minutus_male,4,57,14,NA,0.567,no,no,no
8/20/23,22.5,1,1,epischura_lacustris_male,5,52,29,NA,1.018,no,no,no
8/20/23,22.5,1,1,leptodiaptomus_minutus,8,54,20,NA,0.75,no,no,yes
8/20/23,22.5,1,1,epischura_lacustris_male,9,54,53,NA,0.986,no,no,no
8/20/23,22.5,1,1,skistodiaptomus_oregonensis,10,84,13,NA,0.82,no,no,no
