collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
7/23/23,26,1,1,skistodiaptomus_oregonensis,1,52,24,16,0.832,no,no,no
7/23/23,26,1,1,leptodiaptomus_minutus,2,35,30,NA,0.736,no,no,yes
7/23/23,26,1,1,skistodiaptomus_oregonensis,3,53,50,NA,0.858,yes,no,no
7/23/23,26,1,1,leptodiaptomus_minutus,4,21,55,6,0.715,yes,no,no
7/23/23,26,1,1,skistodiaptomus_oregonensis,5,39,35,NA,0.995,yes,no,no
7/23/23,26,1,1,skistodiaptomus_oregonensis,6,48,20,NA,0.987,yes,uncertain,no
7/23/23,26,1,1,skistodiaptomus_oregonensis,7,49,39,25,0.949,no,no,no
7/23/23,26,1,1,leptodiaptomus_minutus,8,25,1,7,0.714,no,no,no
7/23/23,26,1,1,skistodiaptomus_oregonensis,9,56,18,NA,1.028,yes,no,no
7/23/23,26,1,1,skistodiaptomus_oregonensis,10,54,37,28,1.029,no,no,no
