collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
2/8/24,3,1,1,senecella_calanoides_male,1,30,52,NA,1.8,no,no,no
2/8/24,3,1,1,limnocalanus_macrurus_male,2,33,11,NA,1.362,no,no,no
2/8/24,3,1,1,leptodiaptomus_sicilis,3,71,40,NA,0.796,yes,no,no
2/8/24,3,1,1,leptodiaptomus_sicilis,4,62,6,NA,0.847,yes,no,yes
2/8/24,3,1,1,senecella_calanoides,5,47,56,NA,2.297,yes,no,no
2/8/24,3,1,1,leptodiaptomus_sicilis,6,64,13,NA,0.784,yes,no,no
2/8/24,3,1,1,limnocalanus_macrurus,7,31,58,NA,1.411,yes,no,no
2/8/24,3,1,1,senecella_calanoides_male,8,26,50,NA,1.975,no,no,no
2/8/24,3,1,1,leptodiaptomus_sicilis,9,54,20,6,0.776,yes,no,yes
2/8/24,3,1,1,senecella_calanoides,10,48,29,NA,2.27,yes,no,no
