collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size
5/25/23,10.5,1,1,skistodiaptomus_oregonensis,1,115,25,20,0.861
5/25/23,10.5,1,1,leptodiaptomus_minutus,2,92,46,14,0.667
5/25/23,10.5,1,1,leptodiaptomus_sicilis,3,92,10,NA,0.916
5/25/23,10.5,1,1,skistodiaptomus_oregonensis,4,86,2,NA,0.948
5/25/23,10.5,1,1,skistodiaptomus_oregonensis,5,110,46,NA,1.017
5/25/23,10.5,1,1,leptodiaptomus_minutus,6,82,8,14,0.626
5/25/23,10.5,1,1,leptodiaptomus_minutus,7,89,28,7,0.679
5/25/23,10.5,1,1,skistodiaptomus_oregonensis,8,103,38,16,0.982
5/25/23,10.5,1,1,skistodiaptomus_oregonensis,9,121,54,16,0.954
5/25/23,10.5,1,1,leptodiaptomus_minutus,10,82,53,12,0.741
