collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
2/27/24,3.5,1,1,leptodiaptomus_sicilis,1,56,23,12,1.07,yes,no,yes
2/27/24,3.5,1,1,leptodiaptomus_sicilis,2,57,14,NA,0.829,yes,no,yes
2/27/24,3.5,1,1,leptodiaptomus_sicilis,3,52,56,4,0.834,no,no,no
2/27/24,3.5,1,1,leptodiaptomus_sicilis,4,58,6,6,0.752,no,no,yes
2/27/24,3.5,1,1,leptodiaptomus_sicilis,5,58,37,NA,0.81,yes,no,no
2/27/24,3.5,1,1,leptodiaptomus_sicilis,6,48,42,6,0.888,no,no,no
2/27/24,3.5,1,1,limnocalanus_macrurus_male,7,22,58,NA,1.425,no,no,no
2/27/24,3.5,1,1,leptodiaptomus_sicilis,8,55,22,6,0.77,no,no,no
2/27/24,3.5,1,1,leptodiaptomus_sicilis,9,59,0,NA,1.044,no,no,yes
2/27/24,3.5,1,1,leptodiaptomus_sicilis,10,62,8,NA,0.835,no,no,yes
