collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
11/22/23,8.5,1,1,epischura_lacustris,1,79,40,NA,1.16,no,no,no
11/22/23,8.5,1,1,leptodiaptomus_sicilis,2,92,36,NA,1.009,yes,no,no
11/22/23,8.5,1,1,epischura_lacustris,3,60,22,NA,1.128,yes,no,no
11/22/23,8.5,1,1,epischura_lacustris,4,80,5,NA,1.1,no,no,no
11/22/23,8.5,1,1,leptodiaptomus_sicilis_male,5,57,35,NA,0.904,no,no,no
11/22/23,8.5,1,1,leptodiaptomus_sicilis,6,72,26,NA,1.002,no,no,no
11/22/23,8.5,1,1,leptodiaptomus_sicilis,7,79,6,NA,0.975,no,no,no
11/22/23,8.5,1,1,leptodiaptomus_sicilis,8,83,41,6,0.904,no,no,yes
11/22/23,8.5,1,1,leptodiaptomus_sicilis,9,77,3,4,0.934,no,no,yes
11/22/23,8.5,1,1,leptodiaptomus_minutus,10,78,19,NA,0.667,no,cloudy,no
