collection_date,collection_temp,experiment,replicate,species,tube,ctmax_minute,ctmax_second,fecundity,size,dev_eggs,pathogen,lipids
9/20/23,20,1,1,skistodiaptomus_oregonensis,1,76,40,NA,0.925,no,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,2,80,49,NA,0.802,no,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,3,86,0,NA,0.827,yes,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,4,85,25,14,0.836,no,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,5,82,11,NA,0.871,yes,spot,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,6,79,17,NA,0.806,no,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis,7,79,55,16,0.827,no,no,no
9/20/23,20,1,1,leptodiaptomus_minutus,8,56,2,NA,0.605,no,no,no
9/20/23,20,1,1,leptodiaptomus_minutus,9,53,35,7,0.581,no,no,no
9/20/23,20,1,1,skistodiaptomus_oregonensis_juvenile,10,82,45,NA,0.575,no,no,no
