"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-05-25,10.5,2023-05-25,0,1,1,1,"skistodiaptomus_oregonensis",1,2,0.861,20,113.416666666667,0.155944055944048,35.8854166666667,25.3854166666667
2023-05-25,10.5,2023-05-25,0,1,1,1,"leptodiaptomus_minutus",2,5,0.667,14,90.7666666666667,0.19003496503497,32.0347222222222,21.5347222222222
2023-05-25,10.5,2023-05-25,0,1,1,1,"leptodiaptomus_sicilis",3,6,0.916,NA,90.1666666666667,0.19003496503497,31.9136904761905,21.4136904761905
2023-05-25,10.5,2023-05-25,0,1,1,1,"skistodiaptomus_oregonensis",4,8,0.948,NA,84.0333333333333,0.19895104895105,30.7800925925926,20.2800925925926
2023-05-25,10.5,2023-05-25,0,1,1,1,"skistodiaptomus_oregonensis",5,3,1.017,NA,108.766666666667,0.151048951048934,35.1041666666667,24.6041666666667
2023-05-25,10.5,2023-05-25,0,1,1,1,"leptodiaptomus_minutus",6,10,0.626,14,80.1333333333333,0.18251748251748,30.0549242424242,19.5549242424242
2023-05-25,10.5,2023-05-25,0,1,1,1,"leptodiaptomus_minutus",7,7,0.679,7,87.4666666666667,0.19423076923077,31.421875,20.921875
2023-05-25,10.5,2023-05-25,0,1,1,1,"skistodiaptomus_oregonensis",8,4,0.982,16,101.633333333333,0.175699300699302,33.9322916666667,23.4322916666667
2023-05-25,10.5,2023-05-25,0,1,1,1,"skistodiaptomus_oregonensis",9,1,0.954,16,119.9,0.144755244755234,36.875,26.375
2023-05-25,10.5,2023-05-25,0,1,1,1,"leptodiaptomus_minutus",10,9,0.741,12,80.8833333333333,0.18251748251748,30.2041666666667,19.7041666666667
