"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2024-02-08,3,2024-02-09,1,98,1,1,"leptodiaptomus_sicilis",1,3,0.779,NA,57.9,0.260314685314687,23.4635416666667,20.4635416666667
2024-02-08,3,2024-02-09,1,98,1,1,"senecella_calanoides_male",2,10,1.948,NA,33.2166666666667,0.285489510489509,16.4659090909091,13.4659090909091
2024-02-08,3,2024-02-09,1,98,1,1,"leptodiaptomus_sicilis",3,4,0.816,NA,55.3833333333333,0.256993006993004,22.78125,19.78125
2024-02-08,3,2024-02-09,1,98,1,1,"leptodiaptomus_sicilis",4,1,0.845,NA,83.45,0.23828671328671,NA,NA
2024-02-08,3,2024-02-09,1,98,1,1,"leptodiaptomus_sicilis",5,2,0.872,NA,64.6333333333333,0.251398601398603,25.2083333333333,22.2083333333333
2024-02-08,3,2024-02-09,1,98,1,1,"limnocalanus_macrurus",6,6,1.508,NA,47.15,0.28164335664335,20.5,17.5
2024-02-08,3,2024-02-09,1,98,1,1,"senecella_calanoides_male",7,8,2.046,NA,36,0.249999999999998,17.2625,14.2625
2024-02-08,3,2024-02-09,1,98,1,1,"senecella_calanoides_male",8,7,1.993,NA,46.55,0.283916083916077,20.2942708333333,17.2942708333333
2024-02-08,3,2024-02-09,1,98,1,1,"leptodiaptomus_sicilis",9,5,0.973,6,51.8333333333333,0.277622377622368,21.7986111111111,18.7986111111111
2024-02-08,3,2024-02-09,1,98,1,1,"senecella_calanoides_male",10,9,2.015,NA,35.2833333333333,0.262412587412586,17.0875,14.0875
