"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","dev_eggs","pathogen","lipids","time","ramp_rate","ctmax","warming_tol"
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",1,4,0.977,NA,"yes","no","yes",45.3666666666667,0.240909090909081,35.96875,19.46875
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",2,2,1.069,NA,"yes","no","no",46.2,0.237237762237748,36.1770833333333,19.6770833333333
2024-05-20,16.5,2024-05-20,0,136,1,1,"epischura_lacustris_juvenile",3,9,0.957,NA,"no","no","no",26.6,0.27202797202796,31.3314393939394,14.8314393939394
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",4,1,1.08,NA,"yes","no","yes",47.4666666666667,0.227447552447539,36.4375,19.9375
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",5,6,1.031,NA,"yes","no","yes",41.9,0.236013986013981,35.1428571428571,18.6428571428571
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",6,5,1.06,NA,"yes","no","yes",42.2833333333333,0.233566433566425,35.2256944444444,18.7256944444444
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",7,8,0.843,11,"no","no","no",34.0166666666667,0.239685314685307,33.2361111111111,16.7361111111111
2024-05-20,16.5,2024-05-20,0,136,1,1,"leptodiaptomus_minutus",8,10,0.64,NA,"yes","no","yes",15.7,0.273951048951042,28.4357638888889,11.9357638888889
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",9,7,1.082,NA,"yes","no","yes",40.0333333333333,0.232517482517474,34.6848958333333,18.1848958333333
2024-05-20,16.5,2024-05-20,0,136,1,1,"skistodiaptomus_oregonensis",10,3,0.888,12,"no","no","yes",45.8666666666667,0.240909090909081,36.0972222222222,19.5972222222222
