"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2024-03-04,4,2024-03-06,2,107,1,1,"senecella_calanoides",1,8,2.312,NA,43.0833333333333,0.341258741258737,22.36875,18.36875
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis",2,7,1.02,14,54.6666666666667,0.321678321678313,26.1388888888889,22.1388888888889
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis",3,6,0.932,NA,55.4333333333333,0.321153846153838,26.4017857142857,22.4017857142857
2024-03-04,4,2024-03-06,2,107,1,1,"limnocalanus_macrurus",4,9,1.472,NA,42.4666666666667,0.331643356643354,22.1541666666667,18.1541666666667
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis",5,5,1.03,3,62.7,0.293706293706292,28.6215277777778,24.6215277777778
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_minutus",6,4,0.687,NA,65.35,0.286713286713282,29.4166666666667,25.4166666666667
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis_male",7,3,0.887,NA,69.25,0.288403263403255,NA,NA
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis",9,2,0.795,NA,75.5166666666667,NA,NA,NA
2024-03-04,4,2024-03-06,2,107,1,1,"leptodiaptomus_sicilis",10,1,0.825,NA,76.0166666666667,NA,NA,NA
