"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2024-01-18,3,2024-01-18,0,88,1,1,"senecella_calanoides",1,8,2.232,NA,50.2,0.29388111888111,21.9212962962963,18.9212962962963
2024-01-18,3,2024-01-18,0,88,1,1,"leptodiaptomus_sicilis",2,5,0.732,NA,68.4333333333333,0.261363636363628,26.9618055555556,23.9618055555556
2024-01-18,3,2024-01-18,0,88,1,1,"leptodiaptomus_sicilis",3,1,0.789,NA,79.95,0.242657342657335,29.875,26.875
2024-01-18,3,2024-01-18,0,88,1,1,"leptodiaptomus_sicilis",4,3,0.819,7,77.75,0.244055944055934,29.328125,26.328125
2024-01-18,3,2024-01-18,0,88,1,1,"leptodiaptomus_sicilis",5,4,0.824,6,71.2333333333333,0.273251748251739,27.7041666666667,24.7041666666667
2024-01-18,3,2024-01-18,0,88,1,1,"senecella_calanoides",6,6,2.27,NA,56.5,0.271678321678317,23.735119047619,20.735119047619
2024-01-18,3,2024-01-18,0,88,1,1,"senecella_calanoides",7,7,2.3,NA,54.6333333333333,0.277272727272719,23.1901041666667,20.1901041666667
2024-01-18,3,2024-01-18,0,88,1,1,"limnocalanus_macrurus_male",8,10,1.4,NA,44.3666666666667,0.298076923076918,20.1909722222222,17.1909722222222
2024-01-18,3,2024-01-18,0,88,1,1,"leptodiaptomus_sicilis",9,2,0.85,NA,78.3833333333333,0.245454545454537,29.5104166666667,26.5104166666667
2024-01-18,3,2024-01-18,0,88,1,1,"limnocalanus_macrurus_male",10,9,1.385,NA,44.7166666666667,0.298076923076918,20.3145833333333,17.3145833333333
