"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",1,3,0.902,24,56.6166666666667,0.191958041958033,37.7222222222222,14.2222222222222
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",2,6,0.945,30,50.2333333333333,0.206293706293691,36.4523809523809,12.9523809523809
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",3,4,0.902,32,55.8666666666667,0.190559440559428,37.5729166666667,14.0729166666667
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis_male",4,7,0.846,NA,48.3,0.220979020979008,36.0260416666667,12.5260416666667
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",5,2,0.915,28,57.0166666666667,0.192307692307684,37.8229166666667,14.3229166666667
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",6,10,1.03,NA,33.8166666666667,0.245629370629364,32.7829861111111,9.28298611111111
2023-06-25,23.5,2023-06-26,1,12,1,1,"leptodiaptomus_minutus",7,8,0.679,NA,35.7,0.236013986013978,33.2407407407407,9.74074074074074
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis_male",8,5,0.738,NA,55.0666666666667,0.190559440559428,37.4131944444444,13.9131944444444
2023-06-25,23.5,2023-06-26,1,12,1,1,"skistodiaptomus_oregonensis",9,1,0.949,NA,57.3333333333333,0.192307692307684,37.9166666666667,14.4166666666667
2023-06-25,23.5,2023-06-26,1,12,1,1,"epischura_lacustris_juvenile",10,9,0.725,NA,34.9,0.244055944055936,33.0492424242424,9.54924242424242
