"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",1,8,0.61,NA,64.5166666666667,0.171503496503492,30.099537037037,17.099537037037
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",2,2,0.631,5,71.1166666666667,0.176461038961031,31.3333333333333,18.3333333333333
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",3,9,0.644,NA,61.5666666666667,0.174999999999992,29.5511363636364,16.5511363636364
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",4,10,0.639,9,59.05,0.188636363636356,29.0852272727273,16.0852272727273
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus_juvenile",5,1,0.496,NA,71.8166666666667,0.176461038961031,NA,NA
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",6,6,0.625,NA,67.4833333333333,0.191433566433556,30.6458333333333,17.6458333333333
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",7,7,0.62,9,65.95,0.176048951048943,30.3645833333333,17.3645833333333
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",8,5,0.69,6,68.1333333333333,0.192657342657333,30.7791666666667,17.7791666666667
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",9,4,0.619,NA,68.8333333333333,0.192657342657333,30.9041666666667,17.9041666666667
2023-10-31,13,2023-11-03,3,55,1,1,"leptodiaptomus_minutus",10,3,0.631,3,69.5333333333333,0.199999999999987,31.0277777777778,18.0277777777778
