"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",1,7,0.708,NA,35.9666666666667,0.199300699300688,33.7630208333333,10.7630208333333
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",2,10,0.731,NA,28.3,0.2111888111888,32.1647727272727,9.16477272727273
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",3,6,0.692,8,36.2833333333333,0.203846153846142,33.8452380952381,10.8452380952381
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",4,9,0.733,9,31.1333333333333,0.199650349650338,32.7645833333333,9.76458333333333
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",5,4,0.765,NA,39,0.195804195804189,34.4083333333333,11.4083333333333
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",6,5,0.729,6,36.7,0.203846153846142,33.9236111111111,10.9236111111111
2023-08-01,23,2023-08-02,1,24,1,1,"skistodiaptomus_oregonensis_male",7,2,0.678,NA,58.2833333333333,0.160664335664326,38,15
2023-08-01,23,2023-08-02,1,24,1,1,"leptodiaptomus_minutus",8,3,0.697,3,40.1166666666667,0.198251748251741,34.6319444444444,11.6319444444444
2023-08-01,23,2023-08-02,1,24,1,1,"skistodiaptomus_oregonensis_juvenile",9,1,0.671,NA,59.4666666666667,0.161363636363626,38.1875,15.1875
2023-08-01,23,2023-08-02,1,24,1,1,"epischura_lacustris_juvenile",10,8,0.499,NA,35.5833333333333,0.199300699300688,33.68125,10.68125
