"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-09-20,20,2023-09-20,0,33,1,1,"epischura_lacustris_male",1,8,1.055,NA,40.7333333333333,0.210139860139849,33.9375,13.9375
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",2,6,0.886,17,53.4166666666667,0.188111888111874,36.4166666666667,16.4166666666667
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",3,7,0.803,11,52.5833333333333,0.190034965034952,36.2552083333333,16.2552083333333
2023-09-20,20,2023-09-20,0,33,1,1,"leptodiaptomus_minutus",4,10,0.613,6,33.6666666666667,0.220979020979018,32.421875,12.421875
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",5,4,0.897,17,59.5833333333333,0.171503496503486,37.5125,17.5125
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",6,3,0.832,12,59.95,0.171503496503486,37.5902777777778,17.5902777777778
2023-09-20,20,2023-09-20,0,33,1,1,"leptodiaptomus_minutus",7,9,0.66,NA,35.2333333333333,0.216783216783209,32.7727272727273,12.7727272727273
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",8,1,0.824,NA,60.65,0.17867132867132,37.75,17.75
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",9,5,0.918,NA,58.75,0.175349650349642,37.3680555555556,17.3680555555556
2023-09-20,20,2023-09-20,0,33,1,1,"skistodiaptomus_oregonensis",10,2,0.888,18,60.4833333333333,0.17867132867132,37.6875,17.6875
