"collection_date","sp_name","species","sex","mean_ctmax","ctmax_se"
2023-12-12,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",35.4583333333333,NA
2023-12-27,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.3609716543744,0.226993399703945
2024-01-04,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",27.2321428571429,NA
2024-01-04,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.8334794149609,0.24221304347117
2024-01-04,"Limnocalanus macrurus","limnocalanus_macrurus","female",23.7052083333333,0.768799269264952
2024-01-04,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",28.1161458333333,1.54866814676046
2024-01-12,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.8552951388889,0.454645587978668
2024-01-12,"Limnocalanus macrurus","limnocalanus_macrurus","female",23.6096511994949,1.00511725471128
2024-01-12,"Senecella calanoides","senecella_calanoides","female",22.275,NA
2024-01-12,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",31.21875,0.0945184554778878
2024-01-18,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.0003166850206,0.276240506793967
2024-01-18,"Limnocalanus macrurus","limnocalanus_macrurus","female",22.3219696969697,NA
2024-01-18,"Senecella calanoides","senecella_calanoides","female",22.9488398368607,0.537321939787662
2024-01-24,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.3818735870611,0.401727479803062
2024-01-24,"Limnocalanus macrurus","limnocalanus_macrurus","female",21.2754123263889,0.549865116939607
2024-01-24,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",29.2760416666667,NA
2024-02-02,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",30.9795965608465,0.208381225073968
2024-02-08,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",27.56789611678,0.909954251968794
2024-02-08,"Limnocalanus macrurus","limnocalanus_macrurus","female",19.019675925926,1.48032407407405
2024-02-08,"Senecella calanoides","senecella_calanoides","female",22.73416005291,0.340197990386178
2024-02-23,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.5582826028139,0.383608246455134
