"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","dev_eggs","pathogen","lipids","time","ramp_rate","ctmax","warming_tol"
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",1,4,0.867,NA,"no","no","no",73.6,0.169930069930059,36.9333333333333,16.9333333333333
2023-09-20,20,2023-09-22,2,35,1,1,"leptodiaptomus_minutus_male",2,7,0.581,NA,"no","no","no",55.7,0.179020979020968,33.6901041666667,13.6901041666667
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",3,2,1,NA,"no","no","no",75.8166666666667,0.170279720279707,37.3055555555556,17.3055555555556
2023-09-20,20,2023-09-22,2,35,1,1,"leptodiaptomus_minutus",4,9,0.649,6,"no","no","no",53.3666666666667,0.186538461538448,33.2270833333333,13.2270833333333
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",5,5,0.822,25,"no","no","no",72.8333333333333,0.177447552447541,36.8090277777778,16.8090277777778
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis_male",6,6,0.775,NA,"no","no","no",71.45,0.16695804195803,36.5595238095238,16.5595238095238
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",7,10,0.875,13,"no","no","no",50.1,0.208216783216769,32.6059027777778,12.6059027777778
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",8,3,0.863,NA,"no","spot","no",75.1166666666667,0.170279720279707,37.1805555555556,17.1805555555556
2023-09-20,20,2023-09-22,2,35,1,1,"skistodiaptomus_oregonensis",9,1,0.932,17,"no","no","no",79.0333333333333,0.156363636363627,37.8541666666667,17.8541666666667
2023-09-20,20,2023-09-22,2,35,1,1,"leptodiaptomus_minutus_male",10,8,0.961,NA,"no","no","no",54.3,0.187762237762226,33.4143518518519,13.4143518518519
